Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 3:08:56,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 3:08:02,0.60,0.01,12.00,0.00,0.00,70.61
오후 3:08:03,0.60,0.19,12.00,0.00,0.00,49.44
오후 3:08:04,0.60,0.36,12.00,0.00,0.00,28.72
오후 3:08:05,0.60,0.48,12.00,0.00,0.00,14.85
오후 3:08:06,0.60,0.52,12.00,0.00,0.00,10.00
오후 3:08:07,0.60,0.47,12.00,0.00,0.00,15.14
오후 3:08:08,0.60,0.36,12.00,0.00,0.00,28.26
오후 3:08:09,0.60,0.33,12.00,0.00,0.00,32.27
오후 3:08:10,0.60,0.41,12.00,0.00,0.00,23.05
오후 3:08:11,0.60,0.48,12.00,0.00,0.00,14.17
오후 3:08:12,0.60,0.50,12.00,0.00,0.00,11.62
오후 3:08:13,0.60,0.46,12.00,0.00,0.00,16.70
오후 3:08:14,0.60,0.36,12.00,0.00,0.00,28.26
오후 3:08:15,0.60,0.36,12.00,0.00,0.00,28.52
오후 3:08:16,0.60,0.43,12.00,0.00,0.00,19.88
오후 3:08:17,0.60,0.49,12.00,0.00,0.00,13.66
오후 3:08:18,0.60,0.49,12.00,0.00,0.00,13.02
오후 3:08:19,0.60,0.44,12.00,0.00,0.00,18.83
오후 3:08:20,0.60,0.40,12.00,0.00,0.00,24.40
오후 3:08:21,0.60,0.41,12.00,0.00,0.00,22.59
오후 3:08:22,0.60,0.45,12.00,0.00,0.00,17.42
오후 3:08:23,0.60,0.48,12.00,0.00,0.00,14.39
오후 3:08:24,0.60,0.47,12.00,0.00,0.00,15.77
오후 3:08:25,0.60,0.43,12.00,0.00,0.00,20.09
오후 3:08:26,0.60,0.40,12.00,0.00,0.00,23.90
오후 3:08:27,0.60,0.43,12.00,0.00,0.00,20.81
오후 3:08:28,0.60,0.47,12.00,0.00,0.00,16.19
오후 3:08:29,0.60,0.48,12.00,0.00,0.00,14.54
오후 3:08:30,0.60,0.46,12.00,0.00,0.00,17.13
오후 3:08:31,0.60,0.43,12.00,0.00,0.00,20.63
오후 3:08:32,0.60,0.42,12.00,0.00,0.00,21.61
오후 3:08:33,0.60,0.44,12.00,0.00,0.00,18.81
오후 3:08:34,0.60,0.46,12.00,0.00,0.00,16.43
오후 3:08:35,0.60,0.47,12.00,0.00,0.00,16.06
오후 3:08:36,0.60,0.45,12.00,0.00,0.00,17.76
오후 3:08:37,0.60,0.43,12.00,0.00,0.00,20.06
오후 3:08:38,0.60,0.43,12.00,0.00,0.00,20.51
오후 3:08:39,0.60,0.44,12.00,0.00,0.00,18.66
오후 3:08:40,0.60,0.46,12.00,0.00,0.00,17.25
오후 3:08:41,0.60,0.46,12.00,0.00,0.00,16.37
오후 3:08:42,0.60,0.46,12.00,0.00,0.00,17.12
오후 3:08:43,0.60,0.45,12.00,0.00,0.00,18.59
오후 3:08:44,0.60,0.43,12.00,0.00,0.00,20.24
오후 3:08:45,0.60,0.44,12.00,0.00,0.00,19.79
오후 3:08:46,0.60,0.45,12.00,0.00,0.00,18.30
오후 3:08:47,0.60,0.46,12.00,0.00,0.00,16.95
오후 3:08:48,0.60,0.46,12.00,0.00,0.00,16.27
오후 3:08:49,0.60,0.46,12.00,0.00,0.00,17.22
오후 3:08:50,0.60,0.44,12.00,0.00,0.00,18.99
오후 3:08:51,0.60,0.43,12.00,0.00,0.00,20.49
오후 3:08:52,0.60,0.44,12.00,0.00,0.00,19.20
오후 3:08:53,0.60,0.45,12.00,0.00,0.00,17.58
오후 3:08:54,0.60,0.46,12.00,0.00,0.00,16.62
오후 3:08:55,0.60,0.46,12.00,0.00,0.00,16.81
