Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 4:17:23,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 4:16:26,0.00,0.01,8.00,0.10,0.10,0.00
오후 4:16:27,0.00,0.01,8.00,0.10,0.10,0.11
오후 4:16:28,0.00,0.01,8.00,0.10,0.10,0.00
오후 4:16:29,0.00,0.01,8.00,0.10,0.10,0.26
오후 4:16:30,0.00,0.01,8.00,0.10,0.10,0.00
오후 4:16:31,0.60,0.01,8.00,0.10,0.10,51.76
오후 4:16:32,0.60,0.01,8.00,0.10,0.10,59.75
오후 4:16:33,0.60,0.18,8.00,0.10,0.10,29.10
오후 4:16:34,0.60,0.35,8.00,0.10,0.10,19.39
오후 4:16:35,0.60,0.42,8.00,0.10,0.10,31.49
오후 4:16:36,0.60,0.42,8.00,0.10,0.10,42.50
오후 4:16:37,0.60,0.48,8.00,0.10,0.10,32.96
오후 4:16:38,0.60,0.56,8.00,0.10,0.10,24.14
오후 4:16:39,0.60,0.59,8.00,0.10,0.10,27.65
오후 4:16:40,0.60,0.59,8.00,0.10,0.10,33.42
오후 4:16:41,0.60,0.60,8.00,0.10,0.10,30.96
오후 4:16:42,0.60,0.63,8.00,0.10,0.10,25.34
오후 4:16:43,0.60,0.65,8.00,0.10,0.10,24.95
오후 4:16:44,0.60,0.65,8.00,0.10,0.10,28.30
오후 4:16:45,0.60,0.64,8.00,0.10,0.10,28.14
오후 4:16:46,0.60,0.65,8.00,0.10,0.10,25.52
오후 4:16:47,0.60,0.66,8.00,0.10,0.10,22.96
오후 4:16:48,0.60,0.66,8.00,0.10,0.10,24.50
오후 4:16:49,0.60,0.64,8.00,0.10,0.10,26.21
오후 4:16:50,0.60,0.63,8.00,0.10,0.10,26.37
오후 4:16:51,0.60,0.63,8.00,0.10,0.10,23.84
오후 4:16:52,0.60,0.64,8.00,0.10,0.10,22.73
오후 4:16:53,0.60,0.64,8.00,0.10,0.10,22.64
오후 4:16:54,0.60,0.63,8.00,0.10,0.10,24.96
오후 4:16:55,0.60,0.62,8.00,0.10,0.10,25.05
오후 4:16:56,0.60,0.62,8.00,0.10,0.10,23.72
오후 4:16:57,0.60,0.62,8.00,0.10,0.10,22.30
오후 4:16:58,0.60,0.63,8.00,0.10,0.10,21.68
오후 4:16:59,0.60,0.62,8.00,0.10,0.10,24.13
오후 4:17:00,0.60,0.61,8.00,0.10,0.10,25.12
오후 4:17:01,0.60,0.60,8.00,0.10,0.10,23.92
오후 4:17:02,0.60,0.61,8.00,0.10,0.10,22.90
오후 4:17:03,0.60,0.61,8.00,0.10,0.10,22.81
오후 4:17:04,0.60,0.61,8.00,0.10,0.10,22.92
오후 4:17:05,0.60,0.61,8.00,0.10,0.10,22.11
오후 4:17:06,0.60,0.61,8.00,0.10,0.10,22.99
오후 4:17:07,0.60,0.60,8.00,0.10,0.10,24.13
오후 4:17:08,0.60,0.59,8.00,0.10,0.10,24.80
오후 4:17:09,0.60,0.59,8.00,0.10,0.10,24.14
오후 4:17:10,0.60,0.60,8.00,0.10,0.10,22.83
오후 4:17:11,0.60,0.60,8.00,0.10,0.10,22.94
오후 4:17:12,0.60,0.60,8.00,0.10,0.10,22.58
오후 4:17:13,0.60,0.61,8.00,0.10,0.10,22.57
오후 4:17:14,0.60,0.60,8.00,0.10,0.10,23.30
오후 4:17:15,0.60,0.60,8.00,0.10,0.10,24.09
오후 4:17:16,0.60,0.59,8.00,0.10,0.10,24.63
오후 4:17:17,0.60,0.59,8.00,0.10,0.10,24.17
오후 4:17:18,0.60,0.60,8.00,0.10,0.10,22.80
오후 4:17:19,0.60,0.60,8.00,0.10,0.10,22.99
오후 4:17:20,0.60,0.60,8.00,0.10,0.10,22.72
오후 4:17:21,0.60,0.61,8.00,0.10,0.10,22.60
오후 4:17:22,0.60,0.61,8.00,0.10,0.10,22.56
오후 4:17:23,0.60,0.61,8.00,0.10,0.10,22.87
