t,tank1,tank2,tank3
0,0.23,0.19,0.2
1,0.34,0.21,0.19
2,0.48,0.25,0.2
3,0.62,0.3,0.2
4,0.73,0.37,0.22
5,0.83,0.45,0.25
6,0.9,0.54,0.29
7,0.99,0.62,0.32
8,1.02,0.69,0.36
9,1.06,0.75,0.42
10,1.1,0.82,0.46
11,1.13,0.87,0.51
12,1.16,0.92,0.55
13,1.18,0.98,0.6
14,1.2,1.01,0.64
15,1.22,1.04,0.67
16,1.23,1.07,0.7
17,1.24,1.1,0.71
18,1.25,1.13,0.75
19,1.26,1.15,0.79
20,1.27,1.17,0.8
21,1.27,1.19,0.82
22,1.28,1.21,0.85
23,1.28,1.21,0.88
24,1.28,1.23,0.9
25,1.29,1.24,0.91
26,1.29,1.25,0.94
27,1.29,1.26,0.95
28,1.29,1.27,0.98
29,1.29,1.28,0.99
30,1.3,1.28,0.99
31,1.3,1.29,1.01
32,1.3,1.29,1.03
33,1.3,1.3,1.03
34,1.3,1.31,1.05
35,1.3,1.31,1.05
36,1.3,1.31,1.08
37,1.31,1.32,1.08
38,1.31,1.32,1.1
39,1.31,1.32,1.11
40,1.31,1.33,1.12
41,1.31,1.33,1.14
42,1.31,1.33,1.14
43,1.31,1.33,1.15
44,1.31,1.34,1.16
45,1.31,1.36,1.17
46,1.31,1.36,1.17
47,1.31,1.36,1.18
48,1.31,1.36,1.18
49,1.31,1.36,1.21
50,1.31,1.36,1.21
51,1.31,1.36,1.21
