Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 4:23:35,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 4:22:37,0.00,0.03,8.00,0.00,0.00,100.00
오후 4:22:38,0.00,0.03,8.00,0.00,0.00,100.00
오후 4:22:39,0.00,0.03,8.00,0.00,0.00,100.00
오후 4:22:40,0.00,0.03,8.00,0.00,0.00,100.00
오후 4:22:41,0.00,0.03,8.00,0.00,0.00,100.00
오후 4:22:42,0.00,0.03,8.00,0.00,0.00,100.00
오후 4:22:43,1.20,0.12,8.00,0.00,0.00,0.00
오후 4:22:44,1.20,0.38,8.00,0.00,0.00,0.00
오후 4:22:45,1.20,0.62,8.00,0.00,0.00,0.00
오후 4:22:46,1.20,0.87,8.00,0.00,0.00,0.00
오후 4:22:47,1.20,1.05,8.00,0.00,0.00,0.00
오후 4:22:48,1.20,1.18,8.00,0.00,0.00,0.00
오후 4:22:49,1.20,1.27,8.00,0.00,0.00,100.00
오후 4:22:50,1.20,1.32,8.00,0.00,0.00,100.00
오후 4:22:51,1.20,1.19,8.00,0.00,0.00,0.00
오후 4:22:52,1.20,1.10,8.00,0.00,0.00,0.00
오후 4:22:53,1.20,1.16,8.00,0.00,0.00,0.00
오후 4:22:54,1.20,1.26,8.00,0.00,0.00,100.00
오후 4:22:55,1.20,1.32,8.00,0.00,0.00,100.00
오후 4:22:56,1.20,1.20,8.00,0.00,0.00,100.00
오후 4:22:57,1.20,1.12,8.00,0.00,0.00,0.00
오후 4:22:58,1.20,1.07,8.00,0.00,0.00,0.00
오후 4:22:59,1.20,1.15,8.00,0.00,0.00,0.00
오후 4:23:00,1.20,1.25,8.00,0.00,0.00,100.00
오후 4:23:01,1.20,1.32,8.00,0.00,0.00,100.00
오후 4:23:02,1.20,1.20,8.00,0.00,0.00,100.00
오후 4:23:03,1.20,1.12,8.00,0.00,0.00,0.00
오후 4:23:04,1.20,1.08,8.00,0.00,0.00,0.00
오후 4:23:05,1.20,1.15,8.00,0.00,0.00,0.00
오후 4:23:06,1.20,1.26,8.00,0.00,0.00,100.00
오후 4:23:07,1.20,1.32,8.00,0.00,0.00,100.00
오후 4:23:08,1.20,1.20,8.00,0.00,0.00,100.00
오후 4:23:09,1.20,1.12,8.00,0.00,0.00,0.00
오후 4:23:10,1.20,1.08,8.00,0.00,0.00,0.00
오후 4:23:11,1.20,1.15,8.00,0.00,0.00,0.00
오후 4:23:12,1.20,1.26,8.00,0.00,0.00,100.00
오후 4:23:13,1.20,1.32,8.00,0.00,0.00,100.00
오후 4:23:14,1.20,1.20,8.00,0.00,0.00,100.00
오후 4:23:15,1.20,1.12,8.00,0.00,0.00,0.00
오후 4:23:16,1.20,1.08,8.00,0.00,0.00,0.00
오후 4:23:17,1.20,1.15,8.00,0.00,0.00,0.00
오후 4:23:18,1.20,1.26,8.00,0.00,0.00,100.00
오후 4:23:19,1.20,1.32,8.00,0.00,0.00,100.00
오후 4:23:20,1.20,1.20,8.00,0.00,0.00,0.00
오후 4:23:21,1.20,1.12,8.00,0.00,0.00,0.00
오후 4:23:22,1.20,1.17,8.00,0.00,0.00,0.00
오후 4:23:23,1.20,1.27,8.00,0.00,0.00,100.00
오후 4:23:24,1.20,1.33,8.00,0.00,0.00,100.00
오후 4:23:25,1.20,1.21,8.00,0.00,0.00,100.00
오후 4:23:26,1.20,1.12,8.00,0.00,0.00,0.00
오후 4:23:27,1.20,1.08,8.00,0.00,0.00,0.00
오후 4:23:28,1.20,1.15,8.00,0.00,0.00,0.00
오후 4:23:29,1.20,1.25,8.00,0.00,0.00,100.00
오후 4:23:30,1.20,1.32,8.00,0.00,0.00,100.00
오후 4:23:31,1.20,1.20,8.00,0.00,0.00,100.00
오후 4:23:32,1.20,1.12,8.00,0.00,0.00,0.00
오후 4:23:33,1.20,1.08,8.00,0.00,0.00,0.00
오후 4:23:34,1.20,1.15,8.00,0.00,0.00,0.00
