Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 4:29:48,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 4:28:39,0.00,0.03,12.00,0.00,0.00,100.00
오후 4:28:40,0.00,0.03,12.00,0.00,0.00,100.00
오후 4:28:41,0.00,0.03,12.00,0.00,0.00,100.00
오후 4:28:42,1.20,0.03,12.00,0.00,0.00,0.00
오후 4:28:43,1.20,0.26,12.00,0.00,0.00,0.00
오후 4:28:44,1.20,0.55,12.00,0.00,0.00,21.50
오후 4:28:45,1.20,0.80,12.00,0.00,0.00,51.42
오후 4:28:46,1.20,0.98,12.00,0.00,0.00,74.01
오후 4:28:47,1.20,1.02,12.00,0.00,0.00,78.77
오후 4:28:48,1.20,1.05,12.00,0.00,0.00,82.05
오후 4:28:49,1.20,1.08,12.00,0.00,0.00,85.07
오후 4:28:50,1.20,1.09,12.00,0.00,0.00,87.17
오후 4:28:51,1.20,1.10,12.00,0.00,0.00,88.55
오후 4:28:52,1.20,1.11,12.00,0.00,0.00,89.61
오후 4:28:53,1.20,1.12,12.00,0.00,0.00,90.26
오후 4:28:54,1.20,1.12,12.00,0.00,0.00,90.80
오후 4:28:55,1.20,1.13,12.00,0.00,0.00,91.04
오후 4:28:56,1.20,1.13,12.00,0.00,0.00,91.17
오후 4:28:57,1.20,1.13,12.00,0.00,0.00,91.20
오후 4:28:58,1.20,1.13,12.00,0.00,0.00,91.02
오후 4:28:59,1.20,1.13,12.00,0.00,0.00,91.17
오후 4:29:00,1.20,1.12,12.00,0.00,0.00,90.78
오후 4:29:01,1.20,1.12,12.00,0.00,0.00,90.84
오후 4:29:02,1.20,1.12,12.00,0.00,0.00,90.62
오후 4:29:03,1.20,1.12,12.00,0.00,0.00,90.50
오후 4:29:04,1.20,1.12,12.00,0.00,0.00,90.23
오후 4:29:05,1.20,1.12,12.00,0.00,0.00,90.08
오후 4:29:06,1.20,1.12,12.00,0.00,0.00,89.96
오후 4:29:07,1.20,1.12,12.00,0.00,0.00,89.92
오후 4:29:08,1.20,1.11,12.00,0.00,0.00,89.59
오후 4:29:09,1.20,1.11,12.00,0.00,0.00,89.54
오후 4:29:10,1.20,1.11,12.00,0.00,0.00,89.46
오후 4:29:11,1.20,1.11,12.00,0.00,0.00,89.22
오후 4:29:12,1.20,1.11,12.00,0.00,0.00,89.11
오후 4:29:13,1.20,1.11,12.00,0.00,0.00,89.09
오후 4:29:14,1.20,1.11,12.00,0.00,0.00,88.85
오후 4:29:15,1.20,1.11,12.00,0.00,0.00,88.81
오후 4:29:16,1.20,1.11,12.00,0.00,0.00,88.90
오후 4:29:17,1.20,1.10,12.00,0.00,0.00,88.46
오후 4:29:18,1.20,1.10,12.00,0.00,0.00,88.38
오후 4:29:19,1.20,1.10,12.00,0.00,0.00,88.15
오후 4:29:20,1.20,1.10,12.00,0.00,0.00,88.01
오후 4:29:21,1.20,1.10,12.00,0.00,0.00,88.18
오후 4:29:22,1.20,1.10,12.00,0.00,0.00,87.91
오후 4:29:23,1.20,1.10,12.00,0.00,0.00,87.64
오후 4:29:24,1.20,1.10,12.00,0.00,0.00,87.69
오후 4:29:25,1.20,1.10,12.00,0.00,0.00,87.45
오후 4:29:26,1.20,1.10,12.00,0.00,0.00,87.41
오후 4:29:27,1.20,1.09,12.00,0.00,0.00,87.17
오후 4:29:28,1.20,1.09,12.00,0.00,0.00,87.03
오후 4:29:29,1.20,1.09,12.00,0.00,0.00,86.84
오후 4:29:30,1.20,1.09,12.00,0.00,0.00,86.87
오후 4:29:31,1.20,1.09,12.00,0.00,0.00,86.62
오후 4:29:32,1.20,1.09,12.00,0.00,0.00,86.57
오후 4:29:33,1.20,1.08,12.00,0.00,0.00,86.16
오후 4:29:34,1.20,1.09,12.00,0.00,0.00,86.27
오후 4:29:35,1.20,1.08,12.00,0.00,0.00,86.07
오후 4:29:36,1.20,1.08,12.00,0.00,0.00,85.94
오후 4:29:37,1.20,1.08,12.00,0.00,0.00,86.10
오후 4:29:38,1.20,1.08,12.00,0.00,0.00,85.61
오후 4:29:39,1.20,1.08,12.00,0.00,0.00,85.61
오후 4:29:40,1.20,1.08,12.00,0.00,0.00,85.47
오후 4:29:41,1.20,1.08,12.00,0.00,0.00,85.50
오후 4:29:42,1.20,1.08,12.00,0.00,0.00,85.42
오후 4:29:43,1.20,1.08,12.00,0.00,0.00,85.34
오후 4:29:44,1.20,1.08,12.00,0.00,0.00,85.16
오후 4:29:45,1.20,1.08,12.00,0.00,0.00,85.03
오후 4:29:46,1.20,1.08,12.00,0.00,0.00,85.07
오후 4:29:47,1.20,1.07,12.00,0.00,0.00,84.95
