Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 3:00:24,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 2:59:39,0.00,0.01,2.00,0.00,0.00,0.00
오후 2:59:40,0.00,0.01,2.00,0.00,0.00,0.00
오후 2:59:41,0.00,0.01,2.00,0.00,0.00,0.00
오후 2:59:42,0.00,0.01,2.00,0.00,0.00,0.00
오후 2:59:43,0.00,0.01,2.00,0.00,0.00,0.00
오후 2:59:44,0.00,0.01,2.00,0.00,0.00,0.00
오후 2:59:45,0.00,0.01,2.00,0.00,0.00,0.00
오후 2:59:46,0.00,0.01,2.00,0.00,0.00,0.00
오후 2:59:47,0.60,0.01,2.00,0.00,0.00,100.00
오후 2:59:48,0.60,0.01,2.00,0.00,0.00,100.00
오후 2:59:49,0.60,0.19,2.00,0.00,0.00,100.00
오후 2:59:50,0.60,0.37,2.00,0.00,0.00,100.00
오후 2:59:51,0.60,0.50,2.00,0.00,0.00,100.00
오후 2:59:52,0.60,0.59,2.00,0.00,0.00,100.00
오후 2:59:53,0.60,0.67,2.00,0.00,0.00,0.00
오후 2:59:54,0.60,0.73,2.00,0.00,0.00,0.00
오후 2:59:55,0.60,0.67,2.00,0.00,0.00,0.00
오후 2:59:56,0.60,0.52,2.00,0.00,0.00,100.00
오후 2:59:57,0.60,0.40,2.00,0.00,0.00,100.00
오후 2:59:58,0.60,0.49,2.00,0.00,0.00,100.00
오후 2:59:59,0.60,0.62,2.00,0.00,0.00,0.00
오후 3:00:00,0.60,0.70,2.00,0.00,0.00,0.00
오후 3:00:01,0.60,0.64,2.00,0.00,0.00,0.00
오후 3:00:02,0.60,0.50,2.00,0.00,0.00,100.00
오후 3:00:03,0.60,0.38,2.00,0.00,0.00,100.00
오후 3:00:04,0.60,0.48,2.00,0.00,0.00,100.00
오후 3:00:05,0.60,0.61,2.00,0.00,0.00,0.00
오후 3:00:06,0.60,0.69,2.00,0.00,0.00,0.00
오후 3:00:07,0.60,0.64,2.00,0.00,0.00,0.00
오후 3:00:08,0.60,0.50,2.00,0.00,0.00,100.00
오후 3:00:09,0.60,0.38,2.00,0.00,0.00,100.00
오후 3:00:10,0.60,0.48,2.00,0.00,0.00,100.00
오후 3:00:11,0.60,0.61,2.00,0.00,0.00,0.00
오후 3:00:12,0.60,0.69,2.00,0.00,0.00,0.00
오후 3:00:13,0.60,0.63,2.00,0.00,0.00,0.00
오후 3:00:14,0.60,0.49,2.00,0.00,0.00,100.00
오후 3:00:15,0.60,0.38,2.00,0.00,0.00,100.00
오후 3:00:16,0.60,0.48,2.00,0.00,0.00,100.00
오후 3:00:17,0.60,0.61,2.00,0.00,0.00,0.00
오후 3:00:18,0.60,0.69,2.00,0.00,0.00,0.00
오후 3:00:19,0.60,0.64,2.00,0.00,0.00,0.00
오후 3:00:20,0.60,0.49,2.00,0.00,0.00,100.00
오후 3:00:21,0.60,0.38,2.00,0.00,0.00,100.00
오후 3:00:22,0.60,0.48,2.00,0.00,0.00,100.00
오후 3:00:23,0.60,0.61,2.00,0.00,0.00,0.00
