Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 3:58:37,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 3:57:19,0.00,0.01,12.00,0.10,0.10,0.00
오후 3:57:20,0.60,0.01,12.00,0.10,0.10,77.86
오후 3:57:21,0.60,0.01,12.00,0.10,0.10,89.52
오후 3:57:22,0.60,0.18,12.00,0.10,0.10,53.86
오후 3:57:23,0.60,0.36,12.00,0.10,0.10,39.74
오후 3:57:24,0.60,0.48,12.00,0.10,0.10,36.38
오후 3:57:25,0.60,0.55,12.00,0.10,0.10,36.39
오후 3:57:26,0.60,0.59,12.00,0.10,0.10,35.68
오후 3:57:27,0.60,0.63,12.00,0.10,0.10,32.31
오후 3:57:28,0.60,0.66,12.00,0.10,0.10,29.44
오후 3:57:29,0.60,0.67,12.00,0.10,0.10,28.30
오후 3:57:30,0.60,0.68,12.00,0.10,0.10,27.35
오후 3:57:31,0.60,0.68,12.00,0.10,0.10,26.88
오후 3:57:32,0.60,0.68,12.00,0.10,0.10,25.09
오후 3:57:33,0.60,0.67,12.00,0.10,0.10,25.19
오후 3:57:34,0.60,0.67,12.00,0.10,0.10,24.55
오후 3:57:35,0.60,0.66,12.00,0.10,0.10,24.45
오후 3:57:36,0.60,0.65,12.00,0.10,0.10,24.73
오후 3:57:37,0.60,0.64,12.00,0.10,0.10,25.14
오후 3:57:38,0.60,0.63,12.00,0.10,0.10,25.37
오후 3:57:39,0.60,0.63,12.00,0.10,0.10,23.66
오후 3:57:40,0.60,0.63,12.00,0.10,0.10,22.70
오후 3:57:41,0.60,0.63,12.00,0.10,0.10,22.58
오후 3:57:42,0.60,0.63,12.00,0.10,0.10,22.43
오후 3:57:43,0.60,0.62,12.00,0.10,0.10,23.96
오후 3:57:44,0.60,0.61,12.00,0.10,0.10,25.15
오후 3:57:45,0.60,0.60,12.00,0.10,0.10,24.35
오후 3:57:46,0.60,0.61,12.00,0.10,0.10,22.99
오후 3:57:47,0.60,0.61,12.00,0.10,0.10,22.10
오후 3:57:48,0.60,0.61,12.00,0.10,0.10,22.12
오후 3:57:49,0.60,0.61,12.00,0.10,0.10,24.22
오후 3:57:50,0.60,0.60,12.00,0.10,0.10,25.34
오후 3:57:51,0.60,0.60,12.00,0.10,0.10,24.00
오후 3:57:52,0.60,0.60,12.00,0.10,0.10,22.76
오후 3:57:53,0.60,0.61,12.00,0.10,0.10,22.03
오후 3:57:54,0.60,0.61,12.00,0.10,0.10,22.19
오후 3:57:55,0.60,0.60,12.00,0.10,0.10,24.53
오후 3:57:56,0.60,0.59,12.00,0.10,0.10,25.72
오후 3:57:57,0.60,0.59,12.00,0.10,0.10,24.20
오후 3:57:58,0.60,0.60,12.00,0.10,0.10,22.19
오후 3:57:59,0.60,0.61,12.00,0.10,0.10,22.18
오후 3:58:00,0.60,0.60,12.00,0.10,0.10,23.79
오후 3:58:01,0.60,0.59,12.00,0.10,0.10,25.36
오후 3:58:02,0.60,0.59,12.00,0.10,0.10,25.22
오후 3:58:03,0.60,0.60,12.00,0.10,0.10,22.90
오후 3:58:04,0.60,0.60,12.00,0.10,0.10,22.50
오후 3:58:05,0.60,0.61,12.00,0.10,0.10,22.29
오후 3:58:06,0.60,0.60,12.00,0.10,0.10,24.08
오후 3:58:07,0.60,0.60,12.00,0.10,0.10,24.95
오후 3:58:08,0.60,0.59,12.00,0.10,0.10,24.54
오후 3:58:09,0.60,0.60,12.00,0.10,0.10,23.39
오후 3:58:10,0.60,0.60,12.00,0.10,0.10,23.56
오후 3:58:11,0.60,0.60,12.00,0.10,0.10,22.97
오후 3:58:12,0.60,0.61,12.00,0.10,0.10,22.35
오후 3:58:13,0.60,0.60,12.00,0.10,0.10,23.25
오후 3:58:14,0.60,0.61,12.00,0.10,0.10,22.62
오후 3:58:15,0.60,0.60,12.00,0.10,0.10,24.12
오후 3:58:16,0.60,0.59,12.00,0.10,0.10,24.92
오후 3:58:17,0.60,0.59,12.00,0.10,0.10,24.47
오후 3:58:18,0.60,0.60,12.00,0.10,0.10,22.57
오후 3:58:19,0.60,0.60,12.00,0.10,0.10,22.62
오후 3:58:20,0.60,0.61,12.00,0.10,0.10,22.35
오후 3:58:21,0.60,0.60,12.00,0.10,0.10,23.32
오후 3:58:22,0.60,0.60,12.00,0.10,0.10,24.82
오후 3:58:23,0.60,0.59,12.00,0.10,0.10,25.35
오후 3:58:24,0.60,0.60,12.00,0.10,0.10,22.94
오후 3:58:25,0.60,0.61,12.00,0.10,0.10,21.56
오후 3:58:26,0.60,0.61,12.00,0.10,0.10,22.05
오후 3:58:27,0.60,0.60,12.00,0.10,0.10,24.48
오후 3:58:28,0.60,0.59,12.00,0.10,0.10,26.09
오후 3:58:29,0.60,0.60,12.00,0.10,0.10,22.97
오후 3:58:30,0.60,0.60,12.00,0.10,0.10,22.13
오후 3:58:31,0.60,0.61,12.00,0.10,0.10,21.00
오후 3:58:32,0.60,0.60,12.00,0.10,0.10,23.86
오후 3:58:33,0.60,0.59,12.00,0.10,0.10,25.34
오후 3:58:34,0.60,0.59,12.00,0.10,0.10,24.09
오후 3:58:35,0.60,0.60,12.00,0.10,0.10,22.70
오후 3:58:36,0.60,0.60,12.00,0.10,0.10,22.12
오후 3:58:37,0.60,0.61,12.00,0.10,0.10,21.53
