Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 3:22:05,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 3:21:10,0.00,0.01,12.00,0.10,0.10,0.00
오후 3:21:11,0.60,0.01,12.00,0.10,0.10,77.80
오후 3:21:12,0.60,0.01,12.00,0.10,0.10,89.89
오후 3:21:13,0.60,0.19,12.00,0.10,0.10,78.16
오후 3:21:14,0.60,0.36,12.00,0.10,0.10,63.79
오후 3:21:15,0.60,0.49,12.00,0.10,0.10,52.19
오후 3:21:16,0.60,0.58,12.00,0.10,0.10,42.42
오후 3:21:17,0.60,0.65,12.00,0.10,0.10,34.35
오후 3:21:18,0.60,0.69,12.00,0.10,0.10,27.59
오후 3:21:19,0.60,0.70,12.00,0.10,0.10,24.19
오후 3:21:20,0.60,0.70,12.00,0.10,0.10,23.06
오후 3:21:21,0.60,0.68,12.00,0.10,0.10,23.61
오후 3:21:22,0.60,0.66,12.00,0.10,0.10,24.24
오후 3:21:23,0.60,0.65,12.00,0.10,0.10,24.87
오후 3:21:24,0.60,0.64,12.00,0.10,0.10,25.19
오후 3:21:25,0.60,0.64,12.00,0.10,0.10,24.63
오후 3:21:26,0.60,0.63,12.00,0.10,0.10,24.16
오후 3:21:27,0.60,0.63,12.00,0.10,0.10,23.76
오후 3:21:28,0.60,0.63,12.00,0.10,0.10,23.14
오후 3:21:29,0.60,0.63,12.00,0.10,0.10,22.81
오후 3:21:30,0.60,0.62,12.00,0.10,0.10,22.76
오후 3:21:31,0.60,0.62,12.00,0.10,0.10,22.86
오후 3:21:32,0.60,0.61,12.00,0.10,0.10,23.73
오후 3:21:33,0.60,0.60,12.00,0.10,0.10,24.31
오후 3:21:34,0.60,0.60,12.00,0.10,0.10,24.38
오후 3:21:35,0.60,0.60,12.00,0.10,0.10,24.24
오후 3:21:36,0.60,0.61,12.00,0.10,0.10,23.91
오후 3:21:37,0.60,0.61,12.00,0.10,0.10,23.65
오후 3:21:38,0.60,0.61,12.00,0.10,0.10,23.46
오후 3:21:39,0.60,0.60,12.00,0.10,0.10,23.63
오후 3:21:40,0.60,0.60,12.00,0.10,0.10,23.58
오후 3:21:41,0.60,0.60,12.00,0.10,0.10,23.81
오후 3:21:42,0.60,0.60,12.00,0.10,0.10,24.07
오후 3:21:43,0.60,0.60,12.00,0.10,0.10,24.13
오후 3:21:44,0.60,0.60,12.00,0.10,0.10,24.04
오후 3:21:45,0.60,0.60,12.00,0.10,0.10,24.04
오후 3:21:46,0.60,0.60,12.00,0.10,0.10,24.07
오후 3:21:47,0.60,0.60,12.00,0.10,0.10,23.96
오후 3:21:48,0.60,0.60,12.00,0.10,0.10,23.87
오후 3:21:49,0.60,0.60,12.00,0.10,0.10,24.05
오후 3:21:50,0.60,0.60,12.00,0.10,0.10,23.94
오후 3:21:51,0.60,0.60,12.00,0.10,0.10,24.00
오후 3:21:52,0.60,0.60,12.00,0.10,0.10,24.09
오후 3:21:53,0.60,0.60,12.00,0.10,0.10,24.26
오후 3:21:54,0.60,0.60,12.00,0.10,0.10,23.94
오후 3:21:55,0.60,0.60,12.00,0.10,0.10,24.00
오후 3:21:56,0.60,0.60,12.00,0.10,0.10,23.74
오후 3:21:57,0.60,0.60,12.00,0.10,0.10,23.59
오후 3:21:58,0.60,0.60,12.00,0.10,0.10,23.58
오후 3:21:59,0.60,0.60,12.00,0.10,0.10,23.70
오후 3:22:00,0.60,0.60,12.00,0.10,0.10,23.80
오후 3:22:01,0.60,0.60,12.00,0.10,0.10,24.02
오후 3:22:02,0.60,0.60,12.00,0.10,0.10,23.83
오후 3:22:03,0.60,0.60,12.00,0.10,0.10,23.96
오후 3:22:04,0.60,0.60,12.00,0.10,0.10,23.86
오후 3:22:05,0.60,0.60,12.00,0.10,0.10,23.82
