Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 3:32:00,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 3:30:52,0.00,0.01,4.00,0.20,0.20,0.00
오후 3:30:53,0.00,0.01,4.00,0.20,0.20,0.00
오후 3:30:54,0.60,0.01,4.00,0.20,0.20,24.95
오후 3:30:55,0.60,0.01,4.00,0.20,0.20,26.96
오후 3:30:56,0.60,0.11,4.00,0.20,0.20,22.16
오후 3:30:57,0.60,0.22,4.00,0.20,0.20,19.04
오후 3:30:58,0.60,0.29,4.00,0.20,0.20,18.85
오후 3:30:59,0.60,0.31,4.00,0.20,0.20,19.50
오후 3:31:00,0.60,0.33,4.00,0.20,0.20,19.87
오후 3:31:01,0.60,0.35,4.00,0.20,0.20,20.40
오후 3:31:02,0.60,0.36,4.00,0.20,0.20,20.44
오후 3:31:03,0.60,0.38,4.00,0.20,0.20,20.38
오후 3:31:04,0.60,0.40,4.00,0.20,0.20,20.66
오후 3:31:05,0.60,0.41,4.00,0.20,0.20,20.81
오후 3:31:06,0.60,0.42,4.00,0.20,0.20,20.98
오후 3:31:07,0.60,0.43,4.00,0.20,0.20,21.22
오후 3:31:08,0.60,0.44,4.00,0.20,0.20,21.16
오후 3:31:09,0.60,0.45,4.00,0.20,0.20,21.49
오후 3:31:10,0.60,0.46,4.00,0.20,0.20,21.50
오후 3:31:11,0.60,0.47,4.00,0.20,0.20,21.64
오후 3:31:12,0.60,0.48,4.00,0.20,0.20,21.79
오후 3:31:13,0.60,0.49,4.00,0.20,0.20,21.90
오후 3:31:14,0.60,0.49,4.00,0.20,0.20,22.02
오후 3:31:15,0.60,0.50,4.00,0.20,0.20,22.14
오후 3:31:16,0.60,0.50,4.00,0.20,0.20,22.25
오후 3:31:17,0.60,0.51,4.00,0.20,0.20,22.33
오후 3:31:18,0.60,0.52,4.00,0.20,0.20,22.39
오후 3:31:19,0.60,0.52,4.00,0.20,0.20,22.60
오후 3:31:20,0.60,0.52,4.00,0.20,0.20,22.53
오후 3:31:21,0.60,0.53,4.00,0.20,0.20,22.72
오후 3:31:22,0.60,0.53,4.00,0.20,0.20,22.79
오후 3:31:23,0.60,0.54,4.00,0.20,0.20,22.79
오후 3:31:24,0.60,0.54,4.00,0.20,0.20,22.98
오후 3:31:25,0.60,0.54,4.00,0.20,0.20,23.06
오후 3:31:26,0.60,0.54,4.00,0.20,0.20,23.10
오후 3:31:27,0.60,0.55,4.00,0.20,0.20,23.21
오후 3:31:28,0.60,0.55,4.00,0.20,0.20,23.19
오후 3:31:29,0.60,0.55,4.00,0.20,0.20,23.34
오후 3:31:30,0.60,0.56,4.00,0.20,0.20,23.35
오후 3:31:31,0.60,0.56,4.00,0.20,0.20,23.43
오후 3:31:32,0.60,0.56,4.00,0.20,0.20,23.49
오후 3:31:33,0.60,0.56,4.00,0.20,0.20,23.47
오후 3:31:34,0.60,0.56,4.00,0.20,0.20,23.52
오후 3:31:35,0.60,0.57,4.00,0.20,0.20,23.68
오후 3:31:36,0.60,0.57,4.00,0.20,0.20,23.75
오후 3:31:37,0.60,0.57,4.00,0.20,0.20,23.69
오후 3:31:38,0.60,0.57,4.00,0.20,0.20,23.67
오후 3:31:39,0.60,0.57,4.00,0.20,0.20,23.79
오후 3:31:40,0.60,0.57,4.00,0.20,0.20,23.84
오후 3:31:41,0.60,0.57,4.00,0.20,0.20,23.85
오후 3:31:42,0.60,0.58,4.00,0.20,0.20,23.87
오후 3:31:43,0.60,0.58,4.00,0.20,0.20,23.89
오후 3:31:44,0.60,0.58,4.00,0.20,0.20,23.96
오후 3:31:45,0.60,0.58,4.00,0.20,0.20,23.96
오후 3:31:46,0.60,0.58,4.00,0.20,0.20,24.22
오후 3:31:47,0.60,0.58,4.00,0.20,0.20,24.05
오후 3:31:48,0.60,0.58,4.00,0.20,0.20,24.11
오후 3:31:49,0.60,0.58,4.00,0.20,0.20,24.20
오후 3:31:50,0.60,0.58,4.00,0.20,0.20,24.13
오후 3:31:51,0.60,0.58,4.00,0.20,0.20,24.14
오후 3:31:52,0.60,0.58,4.00,0.20,0.20,24.23
오후 3:31:53,0.60,0.58,4.00,0.20,0.20,24.26
오후 3:31:54,0.60,0.59,4.00,0.20,0.20,24.22
오후 3:31:55,0.60,0.59,4.00,0.20,0.20,24.25
오후 3:31:56,0.60,0.59,4.00,0.20,0.20,24.04
오후 3:31:57,0.60,0.59,4.00,0.20,0.20,24.18
오후 3:31:58,0.60,0.59,4.00,0.20,0.20,24.35
오후 3:31:59,0.60,0.59,4.00,0.20,0.20,24.12
오후 3:32:00,0.60,0.59,4.00,0.20,0.20,24.17
