Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 3:04:55,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 3:04:06,0.00,0.01,8.00,0.00,0.00,0.00
오후 3:04:07,0.00,0.01,8.00,0.00,0.00,0.00
오후 3:04:08,0.00,0.01,8.00,0.00,0.00,0.00
오후 3:04:09,0.00,0.01,8.00,0.00,0.00,0.00
오후 3:04:10,0.00,0.01,8.00,0.00,0.00,0.00
오후 3:04:11,0.60,0.01,8.00,0.00,0.00,47.10
오후 3:04:12,0.60,0.01,8.00,0.00,0.00,47.08
오후 3:04:13,0.60,0.18,8.00,0.00,0.00,33.69
오후 3:04:14,0.60,0.34,8.00,0.00,0.00,20.50
오후 3:04:15,0.60,0.43,8.00,0.00,0.00,13.96
오후 3:04:16,0.60,0.44,8.00,0.00,0.00,12.72
오후 3:04:17,0.60,0.40,8.00,0.00,0.00,15.79
오후 3:04:18,0.60,0.36,8.00,0.00,0.00,18.95
오후 3:04:19,0.60,0.35,8.00,0.00,0.00,19.87
오후 3:04:20,0.60,0.37,8.00,0.00,0.00,18.18
오후 3:04:21,0.60,0.39,8.00,0.00,0.00,16.54
오후 3:04:22,0.60,0.40,8.00,0.00,0.00,15.91
오후 3:04:23,0.60,0.40,8.00,0.00,0.00,15.99
오후 3:04:24,0.60,0.39,8.00,0.00,0.00,16.96
오후 3:04:25,0.60,0.37,8.00,0.00,0.00,18.07
오후 3:04:26,0.60,0.37,8.00,0.00,0.00,18.49
오후 3:04:27,0.60,0.38,8.00,0.00,0.00,17.97
오후 3:04:28,0.60,0.39,8.00,0.00,0.00,17.19
오후 3:04:29,0.60,0.39,8.00,0.00,0.00,16.67
오후 3:04:30,0.60,0.39,8.00,0.00,0.00,16.51
오후 3:04:31,0.60,0.39,8.00,0.00,0.00,16.63
오후 3:04:32,0.60,0.38,8.00,0.00,0.00,17.33
오후 3:04:33,0.60,0.37,8.00,0.00,0.00,18.08
오후 3:04:34,0.60,0.37,8.00,0.00,0.00,18.29
오후 3:04:35,0.60,0.38,8.00,0.00,0.00,17.61
오후 3:04:36,0.60,0.39,8.00,0.00,0.00,17.02
오후 3:04:37,0.60,0.39,8.00,0.00,0.00,16.62
오후 3:04:38,0.60,0.39,8.00,0.00,0.00,16.59
오후 3:04:39,0.60,0.39,8.00,0.00,0.00,16.68
오후 3:04:40,0.60,0.38,8.00,0.00,0.00,17.44
오후 3:04:41,0.60,0.37,8.00,0.00,0.00,18.16
오후 3:04:42,0.60,0.37,8.00,0.00,0.00,18.18
오후 3:04:43,0.60,0.38,8.00,0.00,0.00,17.69
오후 3:04:44,0.60,0.39,8.00,0.00,0.00,17.18
오후 3:04:45,0.60,0.39,8.00,0.00,0.00,16.82
오후 3:04:46,0.60,0.39,8.00,0.00,0.00,16.82
오후 3:04:47,0.60,0.38,8.00,0.00,0.00,17.22
오후 3:04:48,0.60,0.38,8.00,0.00,0.00,17.88
오후 3:04:49,0.60,0.37,8.00,0.00,0.00,18.50
오후 3:04:50,0.60,0.37,8.00,0.00,0.00,18.20
오후 3:04:51,0.60,0.38,8.00,0.00,0.00,17.58
오후 3:04:52,0.60,0.39,8.00,0.00,0.00,17.10
오후 3:04:53,0.60,0.39,8.00,0.00,0.00,16.80
오후 3:04:54,0.60,0.39,8.00,0.00,0.00,16.99
