Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 5:48:02,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 5:42:23,0.00,0.03,4.00,0.30,0.30,100.00
오후 5:42:24,0.00,0.03,4.00,0.30,0.30,100.00
오후 5:42:25,0.00,0.03,4.00,0.30,0.30,99.91
오후 5:42:26,0.00,0.03,4.00,0.30,0.30,100.00
오후 5:42:27,0.00,0.03,4.00,0.30,0.30,99.85
오후 5:42:28,0.00,0.03,4.00,0.30,0.30,100.00
오후 5:42:29,1.20,0.12,4.00,0.30,0.30,60.46
오후 5:42:30,1.20,0.37,4.00,0.30,0.30,80.83
오후 5:42:31,1.20,0.56,4.00,0.30,0.30,80.96
오후 5:42:32,1.20,0.69,4.00,0.30,0.30,81.62
오후 5:42:33,1.20,0.79,4.00,0.30,0.30,81.99
오후 5:42:34,1.20,0.86,4.00,0.30,0.30,82.51
오후 5:42:35,1.20,0.91,4.00,0.30,0.30,82.07
오후 5:42:36,1.20,0.95,4.00,0.30,0.30,81.98
오후 5:42:37,1.20,0.98,4.00,0.30,0.30,82.00
오후 5:42:38,1.20,1.00,4.00,0.30,0.30,81.60
오후 5:42:39,1.20,1.01,4.00,0.30,0.30,81.18
오후 5:42:40,1.20,1.02,4.00,0.30,0.30,81.18
오후 5:42:41,1.20,1.03,4.00,0.30,0.30,80.80
오후 5:42:42,1.20,1.04,4.00,0.30,0.30,80.63
오후 5:42:43,1.20,1.04,4.00,0.30,0.30,80.16
오후 5:42:44,1.20,1.04,4.00,0.30,0.30,79.76
오후 5:42:45,1.20,1.04,4.00,0.30,0.30,79.70
오후 5:42:46,1.20,1.04,4.00,0.30,0.30,79.15
오후 5:42:47,1.20,1.05,4.00,0.30,0.30,78.78
오후 5:42:48,1.20,1.05,4.00,0.30,0.30,78.54
오후 5:42:49,1.20,1.05,4.00,0.30,0.30,78.10
오후 5:42:50,1.20,1.05,4.00,0.30,0.30,78.13
오후 5:42:51,1.20,1.05,4.00,0.30,0.30,77.41
오후 5:42:52,1.20,1.05,4.00,0.30,0.30,77.20
오후 5:42:53,1.20,1.05,4.00,0.30,0.30,76.90
오후 5:42:54,1.20,1.05,4.00,0.30,0.30,76.48
오후 5:42:55,1.20,1.05,4.00,0.30,0.30,76.10
오후 5:42:56,1.20,1.05,4.00,0.30,0.30,75.95
오후 5:42:57,1.20,1.05,4.00,0.30,0.30,75.47
오후 5:42:58,1.20,1.05,4.00,0.30,0.30,75.21
오후 5:42:59,1.20,1.05,4.00,0.30,0.30,74.75
오후 5:43:00,1.20,1.05,4.00,0.30,0.30,74.49
오후 5:43:01,1.20,1.05,4.00,0.30,0.30,74.16
오후 5:43:02,1.20,1.05,4.00,0.30,0.30,73.59
오후 5:43:03,1.20,1.05,4.00,0.30,0.30,73.55
오후 5:43:04,1.20,1.05,4.00,0.30,0.30,73.00
오후 5:43:05,1.20,1.05,4.00,0.30,0.30,72.94
오후 5:43:06,1.20,1.05,4.00,0.30,0.30,72.45
오후 5:43:07,1.20,1.05,4.00,0.30,0.30,71.99
오후 5:43:08,1.20,1.05,4.00,0.30,0.30,71.83
오후 5:43:09,1.20,1.05,4.00,0.30,0.30,71.22
오후 5:43:10,1.20,1.05,4.00,0.30,0.30,71.12
오후 5:43:11,1.20,1.05,4.00,0.30,0.30,70.70
오후 5:43:12,1.20,1.05,4.00,0.30,0.30,70.47
오후 5:43:13,1.20,1.05,4.00,0.30,0.30,69.94
오후 5:43:14,1.20,1.05,4.00,0.30,0.30,69.86
오후 5:43:15,1.20,1.05,4.00,0.30,0.30,69.34
오후 5:43:16,1.20,1.05,4.00,0.30,0.30,68.87
오후 5:43:17,1.20,1.05,4.00,0.30,0.30,68.63
오후 5:43:18,1.20,1.05,4.00,0.30,0.30,68.42
오후 5:43:19,1.20,1.05,4.00,0.30,0.30,67.88
오후 5:43:20,1.20,1.05,4.00,0.30,0.30,67.68
오후 5:43:21,1.20,1.05,4.00,0.30,0.30,67.30
오후 5:43:22,1.20,1.05,4.00,0.30,0.30,66.85
오후 5:43:23,1.20,1.05,4.00,0.30,0.30,66.81
오후 5:43:24,1.20,1.05,4.00,0.30,0.30,66.36
