Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 4:46:34,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 4:40:54,0.00,0.03,4.00,0.30,0.30,100.00
오후 4:40:55,0.00,0.03,4.00,0.30,0.30,100.00
오후 4:40:56,1.20,0.03,4.00,0.30,0.30,50.85
오후 4:40:57,1.20,0.26,4.00,0.30,0.30,57.34
오후 4:40:58,1.20,0.47,4.00,0.30,0.30,64.16
오후 4:40:59,1.20,0.63,4.00,0.30,0.30,68.96
오후 4:41:00,1.20,0.74,4.00,0.30,0.30,72.40
오후 4:41:01,1.20,0.83,4.00,0.30,0.30,74.96
오후 4:41:02,1.20,0.89,4.00,0.30,0.30,76.68
오후 4:41:03,1.20,0.94,4.00,0.30,0.30,77.83
오후 4:41:04,1.20,0.97,4.00,0.30,0.30,78.53
오후 4:41:05,1.20,0.99,4.00,0.30,0.30,79.01
오후 4:41:06,1.20,1.01,4.00,0.30,0.30,79.24
오후 4:41:07,1.20,1.02,4.00,0.30,0.30,79.28
오후 4:41:08,1.20,1.03,4.00,0.30,0.30,79.25
오후 4:41:09,1.20,1.04,4.00,0.30,0.30,79.14
오후 4:41:10,1.20,1.04,4.00,0.30,0.30,78.98
오후 4:41:11,1.20,1.04,4.00,0.30,0.30,78.70
오후 4:41:12,1.20,1.05,4.00,0.30,0.30,78.52
오후 4:41:13,1.20,1.05,4.00,0.30,0.30,78.27
오후 4:41:14,1.20,1.05,4.00,0.30,0.30,78.02
오후 4:41:15,1.20,1.05,4.00,0.30,0.30,77.69
오후 4:41:16,1.20,1.05,4.00,0.30,0.30,77.41
오후 4:41:17,1.20,1.05,4.00,0.30,0.30,77.08
오후 4:41:18,1.20,1.05,4.00,0.30,0.30,76.80
오후 4:41:19,1.20,1.05,4.00,0.30,0.30,76.39
오후 4:41:20,1.20,1.05,4.00,0.30,0.30,76.11
오후 4:41:21,1.20,1.05,4.00,0.30,0.30,75.84
오후 4:41:22,1.20,1.05,4.00,0.30,0.30,75.45
오후 4:41:23,1.20,1.05,4.00,0.30,0.30,75.16
오후 4:41:24,1.20,1.05,4.00,0.30,0.30,74.84
오후 4:41:25,1.20,1.05,4.00,0.30,0.30,74.50
오후 4:41:26,1.20,1.05,4.00,0.30,0.30,74.12
오후 4:41:27,1.20,1.05,4.00,0.30,0.30,73.90
오후 4:41:28,1.20,1.05,4.00,0.30,0.30,73.54
오후 4:41:29,1.20,1.05,4.00,0.30,0.30,73.17
오후 4:41:30,1.20,1.05,4.00,0.30,0.30,72.85
오후 4:41:31,1.20,1.05,4.00,0.30,0.30,72.51
오후 4:41:32,1.20,1.05,4.00,0.30,0.30,72.21
오후 4:41:33,1.20,1.05,4.00,0.30,0.30,71.79
오후 4:41:34,1.20,1.05,4.00,0.30,0.30,71.49
오후 4:41:35,1.20,1.05,4.00,0.30,0.30,71.15
오후 4:41:36,1.20,1.05,4.00,0.30,0.30,70.83
오후 4:41:37,1.20,1.05,4.00,0.30,0.30,70.51
오후 4:41:38,1.20,1.05,4.00,0.30,0.30,70.23
오후 4:41:39,1.20,1.05,4.00,0.30,0.30,69.84
오후 4:41:40,1.20,1.05,4.00,0.30,0.30,69.48
오후 4:41:41,1.20,1.05,4.00,0.30,0.30,69.21
오후 4:41:42,1.20,1.05,4.00,0.30,0.30,68.90
오후 4:41:43,1.20,1.05,4.00,0.30,0.30,68.59
오후 4:41:44,1.20,1.05,4.00,0.30,0.30,68.23
오후 4:41:45,1.20,1.05,4.00,0.30,0.30,67.86
오후 4:41:46,1.20,1.05,4.00,0.30,0.30,67.53
오후 4:41:47,1.20,1.05,4.00,0.30,0.30,67.21
오후 4:41:48,1.20,1.05,4.00,0.30,0.30,66.86
오후 4:41:49,1.20,1.05,4.00,0.30,0.30,66.63
오후 4:41:50,1.20,1.05,4.00,0.30,0.30,66.22
오후 4:41:51,1.20,1.05,4.00,0.30,0.30,65.94
오후 4:41:52,1.20,1.05,4.00,0.30,0.30,65.57
오후 4:41:53,1.20,1.05,4.00,0.30,0.30,65.29
오후 4:41:54,1.20,1.05,4.00,0.30,0.30,64.93
오후 4:41:55,1.20,1.05,4.00,0.30,0.30,64.62
오후 4:41:56,1.20,1.05,4.00,0.30,0.30,64.23
오후 4:41:57,1.20,1.05,4.00,0.30,0.30,63.96
오후 4:41:58,1.20,1.05,4.00,0.30,0.30,63.62
오후 4:41:59,1.20,1.05,4.00,0.30,0.30,63.36
오후 4:42:00,1.20,1.05,4.00,0.30,0.30,62.96
오후 4:42:01,1.20,1.05,4.00,0.30,0.30,62.60
오후 4:42:02,1.20,1.05,4.00,0.30,0.30,62.26
오후 4:42:03,1.20,1.05,4.00,0.30,0.30,61.96
오후 4:42:04,1.20,1.05,4.00,0.30,0.30,61.66
오후 4:42:05,1.20,1.05,4.00,0.30,0.30,61.33
오후 4:42:06,1.20,1.05,4.00,0.30,0.30,61.02
오후 4:42:07,1.20,1.05,4.00,0.30,0.30,60.75
오후 4:42:08,1.20,1.05,4.00,0.30,0.30,60.38
오후 4:42:09,1.20,1.05,4.00,0.30,0.30,60.08
오후 4:42:10,1.20,1.05,4.00,0.30,0.30,59.63
오후 4:42:11,1.20,1.05,4.00,0.30,0.30,59.37
오후 4:42:12,1.20,1.05,4.00,0.30,0.30,59.12
오후 4:42:13,1.20,1.05,4.00,0.30,0.30,58.75
오후 4:42:14,1.20,1.05,4.00,0.30,0.30,58.41
오후 4:42:15,1.20,1.05,4.00,0.30,0.30,58.10
오후 4:42:16,1.20,1.05,4.00,0.30,0.30,57.82
오후 4:42:17,1.20,1.05,4.00,0.30,0.30,57.45
오후 4:42:18,1.20,1.05,4.00,0.30,0.30,57.15
오후 4:42:19,1.20,1.05,4.00,0.30,0.30,56.81
오후 4:42:20,1.20,1.05,4.00,0.30,0.30,56.53
오후 4:42:21,1.20,1.05,4.00,0.30,0.30,56.21
오후 4:42:22,1.20,1.06,4.00,0.30,0.30,55.92
오후 4:42:23,1.20,1.05,4.00,0.30,0.30,55.57
오후 4:42:24,1.20,1.05,4.00,0.30,0.30,55.25
오후 4:42:25,1.20,1.06,4.00,0.30,0.30,55.02
오후 4:42:26,1.20,1.06,4.00,0.30,0.30,54.66
오후 4:42:27,1.20,1.06,4.00,0.30,0.30,54.34
