Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 4:28:09,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 4:26:19,0.00,0.03,8.00,0.00,0.00,100.00
오후 4:26:20,0.00,0.03,8.00,0.00,0.00,100.00
오후 4:26:21,0.00,0.03,8.00,0.00,0.00,100.00
오후 4:26:22,0.00,0.03,8.00,0.00,0.00,100.00
오후 4:26:23,0.00,0.03,8.00,0.00,0.00,100.00
오후 4:26:24,0.00,0.03,8.00,0.00,0.00,100.00
오후 4:26:25,0.00,0.03,8.00,0.00,0.00,100.00
오후 4:26:26,1.20,0.03,8.00,0.00,0.00,6.46
오후 4:26:27,1.20,0.25,8.00,0.00,0.00,23.87
오후 4:26:28,1.20,0.53,8.00,0.00,0.00,46.02
오후 4:26:29,1.20,0.76,8.00,0.00,0.00,64.45
오후 4:26:30,1.20,0.95,8.00,0.00,0.00,79.62
오후 4:26:31,1.20,1.09,8.00,0.00,0.00,91.12
오후 4:26:32,1.20,1.19,8.00,0.00,0.00,99.24
오후 4:26:33,1.20,1.27,8.00,0.00,0.00,100.00
오후 4:26:34,1.20,1.31,8.00,0.00,0.00,100.00
오후 4:26:35,1.20,1.35,8.00,0.00,0.00,100.00
오후 4:26:36,1.20,1.37,8.00,0.00,0.00,100.00
오후 4:26:37,1.20,1.34,8.00,0.00,0.00,100.00
오후 4:26:38,1.20,1.30,8.00,0.00,0.00,100.00
오후 4:26:39,1.20,1.27,8.00,0.00,0.00,100.00
오후 4:26:40,1.20,1.24,8.00,0.00,0.00,100.00
오후 4:26:41,1.20,1.23,8.00,0.00,0.00,100.00
오후 4:26:42,1.20,1.21,8.00,0.00,0.00,100.00
오후 4:26:43,1.20,1.21,8.00,0.00,0.00,100.00
오후 4:26:44,1.20,1.20,8.00,0.00,0.00,99.70
오후 4:26:45,1.20,1.19,8.00,0.00,0.00,98.87
오후 4:26:46,1.20,1.18,8.00,0.00,0.00,98.50
오후 4:26:47,1.20,1.18,8.00,0.00,0.00,98.01
오후 4:26:48,1.20,1.17,8.00,0.00,0.00,97.40
오후 4:26:49,1.20,1.16,8.00,0.00,0.00,97.16
오후 4:26:50,1.20,1.16,8.00,0.00,0.00,96.72
오후 4:26:51,1.20,1.16,8.00,0.00,0.00,96.45
오후 4:26:52,1.20,1.15,8.00,0.00,0.00,96.02
오후 4:26:53,1.20,1.15,8.00,0.00,0.00,95.67
오후 4:26:54,1.20,1.14,8.00,0.00,0.00,95.29
오후 4:26:55,1.20,1.14,8.00,0.00,0.00,95.12
오후 4:26:56,1.20,1.14,8.00,0.00,0.00,94.87
오후 4:26:57,1.20,1.13,8.00,0.00,0.00,94.73
오후 4:26:58,1.20,1.13,8.00,0.00,0.00,94.35
오후 4:26:59,1.20,1.13,8.00,0.00,0.00,94.13
오후 4:27:00,1.20,1.12,8.00,0.00,0.00,93.75
오후 4:27:01,1.20,1.12,8.00,0.00,0.00,93.63
오후 4:27:02,1.20,1.12,8.00,0.00,0.00,93.38
오후 4:27:03,1.20,1.12,8.00,0.00,0.00,93.25
오후 4:27:04,1.20,1.11,8.00,0.00,0.00,93.07
오후 4:27:05,1.20,1.11,8.00,0.00,0.00,92.89
오후 4:27:06,1.20,1.11,8.00,0.00,0.00,92.62
오후 4:27:07,1.20,1.11,8.00,0.00,0.00,92.47
오후 4:27:08,1.20,1.11,8.00,0.00,0.00,92.43
오후 4:27:09,1.20,1.10,8.00,0.00,0.00,92.18
오후 4:27:10,1.20,1.10,8.00,0.00,0.00,92.10
오후 4:27:11,1.20,1.10,8.00,0.00,0.00,91.87
오후 4:27:12,1.20,1.10,8.00,0.00,0.00,91.87
오후 4:27:13,1.20,1.10,8.00,0.00,0.00,91.63
오후 4:27:14,1.20,1.09,8.00,0.00,0.00,91.54
오후 4:27:15,1.20,1.09,8.00,0.00,0.00,91.57
오후 4:27:16,1.20,1.09,8.00,0.00,0.00,91.34
오후 4:27:17,1.20,1.09,8.00,0.00,0.00,91.34
오후 4:27:18,1.20,1.09,8.00,0.00,0.00,91.13
오후 4:27:19,1.20,1.09,8.00,0.00,0.00,90.95
오후 4:27:20,1.20,1.09,8.00,0.00,0.00,90.86
오후 4:27:21,1.20,1.09,8.00,0.00,0.00,90.93
오후 4:27:22,1.20,1.08,8.00,0.00,0.00,90.75
오후 4:27:23,1.20,1.08,8.00,0.00,0.00,90.73
오후 4:27:24,1.20,1.08,8.00,0.00,0.00,90.65
오후 4:27:25,1.20,1.08,8.00,0.00,0.00,90.53
오후 4:27:26,1.20,1.08,8.00,0.00,0.00,90.38
오후 4:27:27,1.20,1.08,8.00,0.00,0.00,90.39
오후 4:27:28,1.20,1.08,8.00,0.00,0.00,90.23
오후 4:27:29,1.20,1.08,8.00,0.00,0.00,90.05
오후 4:27:30,1.20,1.08,8.00,0.00,0.00,90.02
오후 4:27:31,1.20,1.08,8.00,0.00,0.00,90.02
오후 4:27:32,1.20,1.07,8.00,0.00,0.00,89.95
오후 4:27:33,1.20,1.07,8.00,0.00,0.00,89.89
오후 4:27:34,1.20,1.07,8.00,0.00,0.00,89.79
오후 4:27:35,1.20,1.07,8.00,0.00,0.00,89.54
오후 4:27:36,1.20,1.07,8.00,0.00,0.00,89.53
오후 4:27:37,1.20,1.07,8.00,0.00,0.00,89.42
오후 4:27:38,1.20,1.07,8.00,0.00,0.00,89.27
오후 4:27:39,1.20,1.07,8.00,0.00,0.00,89.21
오후 4:27:40,1.20,1.06,8.00,0.00,0.00,89.15
오후 4:27:41,1.20,1.06,8.00,0.00,0.00,89.00
오후 4:27:42,1.20,1.06,8.00,0.00,0.00,88.98
오후 4:27:43,1.20,1.06,8.00,0.00,0.00,88.89
오후 4:27:44,1.20,1.06,8.00,0.00,0.00,88.67
오후 4:27:45,1.20,1.06,8.00,0.00,0.00,88.66
오후 4:27:46,1.20,1.06,8.00,0.00,0.00,88.58
