Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 6:23:08,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 6:18:38,0.00,0.03,8.00,0.30,0.30,100.00
오후 6:18:39,0.00,0.03,8.00,0.30,0.30,100.00
오후 6:18:40,1.20,0.03,8.00,0.30,0.30,1.74
오후 6:18:41,1.20,0.24,8.00,0.30,0.30,43.00
오후 6:18:42,1.20,0.52,8.00,0.30,0.30,72.47
오후 6:18:43,1.20,0.69,8.00,0.30,0.30,67.01
오후 6:18:44,1.20,0.79,8.00,0.30,0.30,63.55
오후 6:18:45,1.20,0.87,8.00,0.30,0.30,64.88
오후 6:18:46,1.20,0.93,8.00,0.30,0.30,65.41
오후 6:18:47,1.20,0.97,8.00,0.30,0.30,65.00
오후 6:18:48,1.20,1.00,8.00,0.30,0.30,65.44
오후 6:18:49,1.20,1.02,8.00,0.30,0.30,63.99
오후 6:18:50,1.20,1.04,8.00,0.30,0.30,64.35
오후 6:18:51,1.20,1.05,8.00,0.30,0.30,64.14
오후 6:18:52,1.20,1.06,8.00,0.30,0.30,63.34
오후 6:18:53,1.20,1.06,8.00,0.30,0.30,63.10
오후 6:18:54,1.20,1.07,8.00,0.30,0.30,62.10
오후 6:18:55,1.20,1.07,8.00,0.30,0.30,62.17
오후 6:18:56,1.20,1.07,8.00,0.30,0.30,61.40
오후 6:18:57,1.20,1.07,8.00,0.30,0.30,60.87
오후 6:18:58,1.20,1.08,8.00,0.30,0.30,60.50
오후 6:18:59,1.20,1.08,8.00,0.30,0.30,60.02
오후 6:19:00,1.20,1.08,8.00,0.30,0.30,59.38
오후 6:19:01,1.20,1.08,8.00,0.30,0.30,58.59
오후 6:19:02,1.20,1.08,8.00,0.30,0.30,58.65
오후 6:19:03,1.20,1.08,8.00,0.30,0.30,57.52
오후 6:19:04,1.20,1.08,8.00,0.30,0.30,57.34
오후 6:19:05,1.20,1.08,8.00,0.30,0.30,56.54
오후 6:19:06,1.20,1.08,8.00,0.30,0.30,56.61
오후 6:19:07,1.20,1.08,8.00,0.30,0.30,55.48
오후 6:19:08,1.20,1.08,8.00,0.30,0.30,55.21
오후 6:19:09,1.20,1.08,8.00,0.30,0.30,54.33
오후 6:19:10,1.20,1.08,8.00,0.30,0.30,54.15
오후 6:19:11,1.20,1.08,8.00,0.30,0.30,53.58
오후 6:19:12,1.20,1.08,8.00,0.30,0.30,53.18
오후 6:19:13,1.20,1.08,8.00,0.30,0.30,52.63
오후 6:19:14,1.20,1.08,8.00,0.30,0.30,51.91
오후 6:19:15,1.20,1.08,8.00,0.30,0.30,51.58
오후 6:19:16,1.20,1.08,8.00,0.30,0.30,50.92
오후 6:19:17,1.20,1.08,8.00,0.30,0.30,50.24
오후 6:19:18,1.20,1.08,8.00,0.30,0.30,49.86
오후 6:19:19,1.20,1.08,8.00,0.30,0.30,49.66
오후 6:19:20,1.20,1.08,8.00,0.30,0.30,49.33
오후 6:19:21,1.20,1.08,8.00,0.30,0.30,48.24
오후 6:19:22,1.20,1.08,8.00,0.30,0.30,47.85
오후 6:19:23,1.20,1.08,8.00,0.30,0.30,47.26
오후 6:19:24,1.20,1.08,8.00,0.30,0.30,47.14
오후 6:19:25,1.20,1.09,8.00,0.30,0.30,46.94
오후 6:19:26,1.20,1.08,8.00,0.30,0.30,45.81
오후 6:19:27,1.20,1.08,8.00,0.30,0.30,45.42
오후 6:19:28,1.20,1.08,8.00,0.30,0.30,44.98
오후 6:19:29,1.20,1.08,8.00,0.30,0.30,44.20
오후 6:19:30,1.20,1.09,8.00,0.30,0.30,44.43
오후 6:19:31,1.20,1.09,8.00,0.30,0.30,43.64
오후 6:19:32,1.20,1.09,8.00,0.30,0.30,43.19
오후 6:19:33,1.20,1.09,8.00,0.30,0.30,43.04
오후 6:19:34,1.20,1.09,8.00,0.30,0.30,41.96
오후 6:19:35,1.20,1.09,8.00,0.30,0.30,41.89
오후 6:19:36,1.20,1.09,8.00,0.30,0.30,41.42
오후 6:19:37,1.20,1.09,8.00,0.30,0.30,40.93
오후 6:19:38,1.20,1.09,8.00,0.30,0.30,40.99
오후 6:19:39,1.20,1.09,8.00,0.30,0.30,39.54
오후 6:19:40,1.20,1.09,8.00,0.30,0.30,39.57
오후 6:19:41,1.20,1.09,8.00,0.30,0.30,39.37
오후 6:19:42,1.20,1.10,8.00,0.30,0.30,39.42
오후 6:19:43,1.20,1.09,8.00,0.30,0.30,37.89
오후 6:19:44,1.20,1.10,8.00,0.30,0.30,38.62
오후 6:19:45,1.20,1.10,8.00,0.30,0.30,37.26
오후 6:19:46,1.20,1.10,8.00,0.30,0.30,37.54
오후 6:19:47,1.20,1.10,8.00,0.30,0.30,37.34
오후 6:19:48,1.20,1.10,8.00,0.30,0.30,36.96
오후 6:19:49,1.20,1.10,8.00,0.30,0.30,36.25
오후 6:19:50,1.20,1.10,8.00,0.30,0.30,36.22
오후 6:19:51,1.20,1.11,8.00,0.30,0.30,35.88
오후 6:19:52,1.20,1.11,8.00,0.30,0.30,35.55
오후 6:19:53,1.20,1.11,8.00,0.30,0.30,35.06
오후 6:19:54,1.20,1.11,8.00,0.30,0.30,34.74
오후 6:19:55,1.20,1.11,8.00,0.30,0.30,34.91
오후 6:19:56,1.20,1.11,8.00,0.30,0.30,33.98
오후 6:19:57,1.20,1.11,8.00,0.30,0.30,33.89
오후 6:19:58,1.20,1.11,8.00,0.30,0.30,33.40
오후 6:19:59,1.20,1.11,8.00,0.30,0.30,32.97
오후 6:20:00,1.20,1.12,8.00,0.30,0.30,33.31
오후 6:20:01,1.20,1.12,8.00,0.30,0.30,32.70
오후 6:20:02,1.20,1.12,8.00,0.30,0.30,32.61
오후 6:20:03,1.20,1.12,8.00,0.30,0.30,31.61
오후 6:20:04,1.20,1.12,8.00,0.30,0.30,31.59
오후 6:20:05,1.20,1.12,8.00,0.30,0.30,31.12
오후 6:20:06,1.20,1.12,8.00,0.30,0.30,30.86
오후 6:20:07,1.20,1.12,8.00,0.30,0.30,30.38
오후 6:20:08,1.20,1.12,8.00,0.30,0.30,31.23
오후 6:20:09,1.20,1.12,8.00,0.30,0.30,30.14
