Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 6:55:28,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 6:53:53,0.00,0.01,12.00,0.00,0.00,0.00
오후 6:53:54,0.00,0.02,12.00,0.00,0.00,0.00
오후 6:53:55,0.00,0.02,12.00,0.00,0.00,0.00
오후 6:53:56,0.00,0.02,12.00,0.00,0.00,0.00
오후 6:53:57,0.00,0.02,12.00,0.00,0.00,0.00
오후 6:53:58,0.00,0.02,12.00,0.00,0.00,0.00
오후 6:53:59,0.00,0.02,12.00,0.00,0.00,0.00
오후 6:54:00,0.00,0.02,12.00,0.00,0.00,0.00
오후 6:54:01,1.20,0.02,12.00,0.00,0.00,100.00
오후 6:54:02,1.20,0.02,12.00,0.00,0.00,100.00
오후 6:54:03,1.20,0.18,12.00,0.00,0.00,100.00
오후 6:54:04,1.20,0.36,12.00,0.00,0.00,100.00
오후 6:54:05,1.20,0.49,12.00,0.00,0.00,100.00
오후 6:54:06,1.20,0.60,12.00,0.00,0.00,100.00
오후 6:54:07,1.20,0.68,12.00,0.00,0.00,100.00
오후 6:54:08,1.20,0.74,12.00,0.00,0.00,100.00
오후 6:54:09,1.20,0.79,12.00,0.00,0.00,100.00
오후 6:54:10,1.20,0.83,12.00,0.00,0.00,100.00
오후 6:54:11,1.20,0.86,12.00,0.00,0.00,100.00
오후 6:54:12,1.20,0.88,12.00,0.00,0.00,100.00
오후 6:54:13,1.20,0.90,12.00,0.00,0.00,100.00
오후 6:54:14,1.20,0.92,12.00,0.00,0.00,100.00
오후 6:54:15,1.20,0.93,12.00,0.00,0.00,100.00
오후 6:54:16,1.20,0.94,12.00,0.00,0.00,100.00
오후 6:54:17,1.20,0.94,12.00,0.00,0.00,100.00
오후 6:54:18,1.20,0.95,12.00,0.00,0.00,100.00
오후 6:54:19,1.20,0.95,12.00,0.00,0.00,100.00
오후 6:54:20,1.20,0.96,12.00,0.00,0.00,100.00
오후 6:54:21,1.20,0.96,12.00,0.00,0.00,100.00
오후 6:54:22,1.20,0.96,12.00,0.00,0.00,100.00
오후 6:54:23,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:24,1.20,0.96,12.00,0.00,0.00,100.00
오후 6:54:25,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:26,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:27,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:28,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:29,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:30,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:31,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:32,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:33,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:34,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:35,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:36,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:37,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:38,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:39,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:40,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:41,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:42,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:43,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:44,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:45,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:46,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:47,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:48,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:49,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:50,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:51,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:52,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:53,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:54,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:55,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:56,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:57,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:58,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:54:59,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:00,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:01,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:02,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:03,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:04,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:05,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:06,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:07,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:08,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:09,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:10,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:11,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:12,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:13,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:14,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:15,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:16,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:17,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:18,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:19,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:20,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:21,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:22,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:23,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:24,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:25,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:26,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:27,1.20,0.97,12.00,0.00,0.00,100.00
오후 6:55:28,1.20,0.97,12.00,0.00,0.00,100.00
