Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 6:57:24,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 6:56:05,0.00,0.01,12.00,0.00,0.00,0.00
오후 6:56:06,0.00,0.01,12.00,0.00,0.00,0.00
오후 6:56:07,0.00,0.01,12.00,0.00,0.00,100.00
오후 6:56:08,0.00,0.04,12.00,0.00,0.00,100.00
오후 6:56:09,0.00,0.03,12.00,0.00,0.00,100.00
오후 6:56:10,0.00,0.03,12.00,0.00,0.00,100.00
오후 6:56:11,0.00,0.03,12.00,0.00,0.00,100.00
오후 6:56:12,0.00,0.03,12.00,0.00,0.00,100.00
오후 6:56:13,0.00,0.03,12.00,0.00,0.00,100.00
오후 6:56:14,0.00,0.21,12.00,0.00,0.00,100.00
오후 6:56:15,0.00,0.44,12.00,0.00,0.00,100.00
오후 6:56:16,0.00,0.60,12.00,0.00,0.00,100.00
오후 6:56:17,0.00,0.73,12.00,0.00,0.00,100.00
오후 6:56:18,0.00,0.82,12.00,0.00,0.00,100.00
오후 6:56:19,0.00,0.89,12.00,0.00,0.00,100.00
오후 6:56:20,0.00,0.94,12.00,0.00,0.00,100.00
오후 6:56:21,0.00,0.97,12.00,0.00,0.00,100.00
오후 6:56:22,0.00,1.00,12.00,0.00,0.00,100.00
오후 6:56:23,0.00,1.02,12.00,0.00,0.00,100.00
오후 6:56:24,0.00,1.03,12.00,0.00,0.00,100.00
오후 6:56:25,0.00,1.04,12.00,0.00,0.00,100.00
오후 6:56:26,0.00,1.04,12.00,0.00,0.00,100.00
오후 6:56:27,0.00,1.05,12.00,0.00,0.00,100.00
오후 6:56:28,0.00,1.05,12.00,0.00,0.00,100.00
오후 6:56:29,0.00,1.05,12.00,0.00,0.00,100.00
오후 6:56:30,0.00,1.05,12.00,0.00,0.00,100.00
오후 6:56:31,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:32,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:33,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:34,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:35,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:36,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:37,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:38,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:39,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:40,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:41,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:42,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:43,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:44,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:45,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:46,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:47,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:48,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:49,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:50,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:51,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:52,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:53,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:54,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:55,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:56,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:57,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:58,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:56:59,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:57:00,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:57:01,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:57:02,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:57:03,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:57:04,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:57:05,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:57:06,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:57:07,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:57:08,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:57:09,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:57:10,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:57:11,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:57:12,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:57:13,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:57:14,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:57:15,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:57:16,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:57:17,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:57:18,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:57:19,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:57:20,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:57:21,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:57:22,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:57:23,0.00,1.06,12.00,0.00,0.00,100.00
오후 6:57:24,0.00,1.06,12.00,0.00,0.00,100.00
